text,jokeRateCount
"- ¡Rápido, necesitamos sangre!
- Yo soy 0 positivo.
- Pues muy mal, necesitamos una mentalidad optimista.",0
"- ¿Cuál es el mejor portero del mundial? 
- Evidente ¡el de Para-guay!",0
"El otro día unas chicas llamarón a mi puerta y me pidieron una pequeña donación para una piscina local. 
Les di un garrafa de agua.",0
"- Andresito, ¿qué planeta va después de Marte? 
- Miércole, señorita.",0
"- ¿Por qué Bob Esponja no va al gimnasio? 
- Porque ya está cuadrado.",0
"Van dos ciegos y le dice uno al otro: 
- Ojalá lloviera... 
- Ojalá yo también...",0
"Noticia de última hora!! 

Muere una suegra atropellada en Canarias. 

Y esto es todo, las 8 en España y UNA menos en Canarias...",0
"– Mamá, mamá, en el colegio dicen que estoy loco.
– ¿Y quién dice eso de ti?
– ...Me lo dicen las sillas...",0
"– Mamá, mamá, ¿me haces un bocata de jamón?
– ¿York?
– Sí, túrk.",0
"- Qué pasa si te expulsan de cuatro univerdades?
- ....
- Que estás perdiendo facultades",0
"- Qué es un pelo en una cama?
- ...
- El bello durmiente",0
"- Qué le dice el techo del comedor al techo de la cocina?
- ....
- Te hecho de menos!",0
"- Qué pasa si se va la luz en una escuela privada?
- ....
- No se ve ni un pijo!",0
"- En qué se convierte un país en el que se prohíben los tacos?
- .... 
- En un país destacado!",0
"- Qué es Messi en 45 días?
- ........
- Mes y medio!",0
"- Qué pasaría si el mundo en lugar de ser una esfera fuera un cubo?
- ....
- Pues que todos seríamos cubanos",0
"- Soy una persona muy saludable.
- ¿Haces mucho deporte y comes sano?
- No. Es que la gente me saluda por la calle y yo... pues les devuelvo el saludo.",0
"- Que hamster más bonito
- Si se llama Sam
- ¿Y dónde lo compraste?
- En Hamsterdam",0
"- Te detesto.
- K de kilo.
- ¿Qué dices?
- No sé... has empezado tú.",0
"- No tienes ni idea de lo que soporto
- Una ciudad de Portugal",0
"Un transportista llevaba una partida de pingüinos hacia el zoológico, cuando a medio camino se le estropea el camión refrigerado. Preocupado, trata de reparar el problema pero ve pasar un camión repartidor de leche y consigue que se detenga. 

Entonces le dice al lechero: 
- Mira, te voy a dar 500 euros para que me hagas el favor de llevar estos pingüinos al zoológico.

El lechero acepta el dinero y se lleva con gusto los pingüinos en su camión refrigerado.
Mientras tanto, el transportista logra arreglar el daño, y de inmediato enfila hacia el zoológico.

En cuanto llega, ve salir al lechero, con los pingüinos detrás de él, en fila. El chófer le pregunta al lechero:

- ¿A donde vas con los pingüinos?
El lechero se lo queda mirando y le responde:

- Ya los llevé al zoológico, pero como me sobró dinero, ahora los pensaba llevar al cine...""",0
"- ¿Cuál es la última letra del abecedario?
- La “O”.
- ¿No es la “Z”?
- ¡No hombre! Si no sería abecedarioz.",0
"- Señora, disculpe pero su vuelo viene demorado.
- ¡Ay, que emoción, es mi color favorito!",0
